geolocation_zip_code_prefix,distance_km
1037,870.209644399315
1046,870.170190021476
1041,870.0718848366922
1035,869.7299147552212
1012,870.5077681839681
1047,870.2494941496213
1013,870.4339297925839
1029,870.0888670510056
1011,870.4834045610299
1032,869.4956966352831
1014,870.3876712840547
1039,869.7907061681108
1024,869.9003797562341
1009,870.3973516766949
1020,871.1099148832506
1043,870.2985454863667
1050,870.5613492769427
1045,869.7269872086712
1007,870.7637043306953
1005,870.7286363590291
1017,870.8221049140872
1019,871.0621146796669
1027,869.5486002078202
1033,869.6773780120535
1006,870.7880137559124
1034,869.8822977832281
1042,870.1114532205343
1040,869.6612162933607
1026,869.6450297179462
1036,869.7479634501386
1048,870.3952130011775
1002,870.5675321663739
1031,869.3468206334519
1022,870.2354393599608
1008,870.136086190603
1010,870.5002371207453
1003,870.6474059419295
1001,870.7043996805876
1015,870.2601851929486
1038,869.9058488378752
1016,870.6184053136916
1049,870.2126436370286
1021,870.2749348174692
1018,870.8331453592152
1044,870.1907581945483
1030,869.5199892932491
1025,869.7652868047439
1004,870.7689832598446
1023,870.0159281195728
1028,869.2654439385269
1155,867.963688560456
1122,868.6748672150717
1150,868.3693153552624
1123,868.4975867415485
1139,867.1339991145276
1153,868.0180576284355
1104,869.3126975698151
1136,867.3456971029893
1130,868.0606111762601
1103,869.2140942660851
1156,868.0731736583572
1151,867.9199131325583
1140,866.7276210103929
1120,868.5860866587382
1106,868.9856401911231
1124,868.3350197271393
1131,867.4547758359478
1121,867.9901339380839
1141,866.9924811148862
1125,868.4043766943902
1102,867.8553903887895
1127,868.1644476115149
1137,867.1185709908681
1135,867.3199526313334
1138,867.0150327384556
1128,867.6929005862522
1109,868.1863985297614
1132,867.1601211885205
1108,867.9319106039484
1107,867.7145569260625
1154,868.3117404841908
1152,868.2022723507246
1134,867.0392520654337
1144,867.277308870534
1129,868.00977864433
1105,869.0525742142358
1126,868.39041575457
1142,867.6336170797289
1133,867.5007089591138
1101,869.0064631748044
1189,868.7468294857501
1202,868.3398230650333
1230,868.5571440546477
1221,870.0953690981835
1217,868.757902386465
1243,870.3749841259939
1203,869.1972650051587
1214,869.0899188284302
1257,869.4286336450675
1231,868.9062602490986
1216,868.9583121066128
1226,868.736536512769
1220,869.7962203687204
1223,869.8618769941958
1213,869.1893226510665
1227,869.0536325004498
1240,869.6970325350883
1258,869.4008739495098
1222,870.2060963015239
1211,868.9386443222501
1244,869.8118733438467
1238,869.4850957518627
1204,869.162000689848
1234,868.8806069482844
1228,870.1943066518476
1224,869.6282516728949
1229,869.4221822989122
1232,868.9861249687524
1218,868.4859774462847
1215,869.2124713530955
1239,870.2618223661805
1205,868.5863427531751
1201,868.8147589853354
1259,869.2477115744964
1210,869.6150244586579
1249,869.9323332186225
1212,869.3593505815962
1248,869.9339362796627
1233,869.2487782471521
1219,869.5222729682431
1235,868.8053747048646
1209,869.5331422696066
1236,869.326300732007
1206,869.0457876531128
1207,869.2316828465092
1251,869.8043453380525
1242,870.1511330001291
1241,869.9296813031641
1208,869.6780854237874
1254,869.1277277066757
1255,869.5564213824415
1245,870.220024577029
1225,869.5204443114599
1252,869.1777564371338
1237,869.5761344560851
1200,868.5014254359426
1250,869.9473311322597
1247,870.3516655696383
1246,870.5355623376422
1262,870.1722781985717
1253,869.2897351463483
1290,869.4018279187244
1256,869.8282291446205
1303,870.5455973013748
1309,871.2046411450301
1310,871.0874493580257
1323,872.1483536031485
1321,871.6422467827878
1333,871.9694628254473
1314,870.6817019464041
1331,871.8579399335378
1307,870.3787042152234
1318,872.2028968320458
1322,872.1706502618715
1308,871.045376350729
1306,870.9942444766883
1301,870.5193086479791
1302,870.3619869619231
1312,870.9415402289295
1319,870.8442957479878
1316,871.0065801857814
1317,871.9905830939737
1313,871.223261859585
1324,870.7705279639692
1327,872.2576478220839
1304,870.7051992749206
1332,871.5446485746832
1326,871.5671729310409
1315,870.9493207644784
1325,871.7482383566413
1329,872.0072009227214
1330,871.2628665380623
1311,871.5484100794482
1305,871.0514184222181
1320,871.4990950623857
1328,871.1840640820834
1402,873.9225527508399
1421,871.6840440711145
1403,872.6897129535068
1409,871.6361881702768
1411,872.3061528796819
1452,871.9098810173044
1423,872.4718039615041
1417,862.766583820275
1408,872.4261860974109
1455,873.277662400049
1401,872.6585941171812
1410,871.349516176331
1453,873.5945799818793
1415,870.6429832481396
1416,871.2820909110351
1445,871.9018115115538
1424,872.3222903918733
1422,871.3277260072639
1419,871.1613950806072
1414,871.7234170206409
1420,872.5094796675667
1451,873.6220077999632
1446,872.902291007307
1406,872.1166714317898
